Title,Rank,Reviews,Review Count,Price,Genre,Manufacturer,Brand,Author,Number of Pages
The Light We Carry: Overcoming in Uncertain Times,1016,4.7,12617,11.40,Personal Transformation,Crown,Crown Books for Young Readers,Michelle Obama,336
101 Questions to Ask Before You Get Engaged,1017,4.6,2213,9.20,Love & Romance,Harvest House Publishers,Harvest House Publishers,H. Norman Wright,144
2024 Friends Wall Calendar,1017,4.9,43,13.69,Calendars,Trends International,Trends International,International Trends,28
The Hiding Place,1018,4.8,23197,3.68,Christian Living,Chosen Books,Chosen Books,Boom Corrie,272
101 Things Every Boy Needs To Know: Important Life Advice for Teenage Boys!,1019,4.5,1510,10.00,Guides,Canyon Press,,Jamie Myers,133
Brain Games - Sticker by Number: Ocean Treasures,1019,4.8,5557,4.59,Travel Games,"Publications International, Ltd.","Publications International, Ltd.",Ltd. Publications,52
The Artist's Way Starter Kit,1020,4.8,2195,18.26,Creativity,TarcherPerigee,TarcherPerigee,Julia Cameron,560
Patrick Picklebottom and the Penny Book,1021,4.7,1472,12.21,Runaways,New Paige Press,New Paige Press,Jay Mr,32
The Berry Pickers: A Novel,1022,4.5,1964,18.08,Coming of Age,Catapult,,Amanda Peters,320
Christmas in the Manger,1022,4.8,5658,6.25,Farm Animals,HarperFestival,HarperFestival,Nola Buck,16
"Dad Jokes 2024 Boxed Calendar and Book Gift Set: 950+ Punderful Jokes (Humor Book & Daily Calendar, White Elephant) (World's Best Dad Jokes Collection)",1023,4.9,9,23.38,Jokes & Riddles,Sourcebooks,,Jimmy Niro,
Star Wars Mad Libs: World's Greatest Word Game book,1024,4.7,7473,3.50,Activity Books,Mad Libs,Mad Libs,Roger Price,48
Behave: The Biology of Humans at Our Best and Worst,1025,4.7,7658,14.28,Behavioral Sciences,Penguin Books,Penguin Books,Robert M. Sapolsky,800
Daily Wisdom for Women 2024 Devotional Collection (Daily Wisdom - Annual Edition),1026,4.9,17,12.50,Women's Issues,Barbour Publishing,,Staff Compiled,384
There Are Moms Way Worse Than You: Irrefutable Proof That You Are Indeed a Fantastic Parent,1027,4.7,3386,6.43,Parenting & Families,Workman Publishing Company,Generic,Glenn Boozan,64
"Twisted (Never After, 4)",1027,4.3,10210,6.03,Erotica,Bloom Books,,Emily McIntire,400
"The Fun and Relaxing Adult Activity Book: With Easy Puzzles, Coloring Pages, Writing Activities, Brain Games and Much More",1028,4.5,7098,7.24,Logic & Brain Teasers,Lomic Books,CreateSpace Classics,Book Fun,152
Gentle and Lowly: The Heart of Christ for Sinners and Sufferers,1029,4.8,11458,6.10,Counseling,Crossway,Crossway,Dane C. Ortlund,224
Guitar Exercises for Beginners: 10x Your Guitar Skills in 10 Minutes a Day,1030,4.5,2709,16.08,Guitar,Independently published,Independently Published,Guitar Head,138
The Lyrics: 1956 to the Present,1032,4.7,48,16.14,Rock,Liveright,,Paul McCartney,624
Healing Is a Gift: Poems for Those Who Need to Grow,1033,4.7,2387,8.82,Poetry,Independently published,,Alexandra Vasiliu,172
Unwoke: How to Defeat Cultural Marxism in America,1034,4.5,396,25.37,Democracy,Regnery,,Ted Cruz,368
The Christmas Fix,1035,4.3,17102,4.90,Small Town & Rural,Bloom Books,,Lucy Score,384
Grandma's Story: A Memory and Keepsake Journal for My Family (Grandparents Keepsake Memory Journal Series),1036,4.8,664,16.78,Guided Journals,Paige Tate & Co,Paige Tate & Co,Korie Herold,112
"Colleen Hoover 3-Book Boxed Set: Reminders of Him, Layla, Regretting You",1038,4.8,545,22.31,Family Life,Montlake,,Colleen Hoover,
"School Zone Big Preschool Workbook: Kids Learning Skills Ages 3 to 5, Handwriting, ABCs, Phonics, Early Math & Numbers, Colors & Shapes, Follow Directions, and More, 320 Pages",1039,4.8,71688,10.98,School,School Zone Publishing,School Zone,Zone School,320
50 Things To See With A Telescope - Kids: A Constellation Focused Approach,1040,4.7,7260,9.50,Astronomy,John A Read,John A Read,John A Read,72
Little Blue Truck Board Book,1041,4.9,5567,6.80,Farm Animals,Clarion Books,HMH Books for Young Readers,Alice Schertle,30
"The Game Master's Book of Random Encounters: 500+ customizable maps, tables and story hooks to create 5th edition adventures on demand (The Game Master Series)",1042,4.8,4920,7.37,Reference,Media Lab Books,Media Lab Books,Jeff Ashworth,256
Horse: A Novel,1042,4.6,34823,15.95,Animals,Viking,,Geraldine Brooks,416
Night (Night),1043,4.7,20559,4.05,Europe,Hill and Wang,Hill and Wang,Wiesel Elie,120
Burn After Writing (Celestial),1044,4.6,83485,7.32,Creativity,TarcherPerigee,,Sharon Jones,160
The One-Minute Gratitude Journal,1046,4.6,7466,6.43,Creativity,CreateSpace Independent Publishing Platform,Brenda Nathan,Brenda Nathan,112
"Percy Jackson and the Olympians, Book Two: The Sea of Monsters (Percy Jackson & the Olympians)",1047,4.7,32418,6.90,Action & Adventure,Disney Hyperion,Disney-Hyperion,Rick Riordan,320
The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,1048,4.6,26242,12.90,Motivational,Portfolio,Portfolio,Ryan Holiday,224
"The Midwife of Auschwitz: Inspired by a heartbreaking true story, an emotional and gripping World War 2 historical novel (Women of War)",1049,4.7,11853,10.81,Historical,Bookouture,,Anna Stuart,364
When the Rain Ends,1052,4.4,21298,7.75,Coming of Age,Montlake,,Mary Ellen Taylor,335
"Wings of Fire Boxset, Books 1-5 (Wings of Fire) (Wings of Fire)",1053,4.8,9456,22.83,Animals,Scholastic Paperbacks,Scholastic,Tui T. Sutherland,
The Inheritance Cycle 4-Book Trade Paperback Boxed Set: Eragon; Eldest; Brisingr; Inheritance,1054,4.8,9722,36.00,Fantasy & Magic,Knopf Books for Young Readers,Knopf Books for Young Readers,Christopher Paolini,880
"Imagine the God of Heaven: Near-Death Experiences, God’s Revelation, and the Love You’ve Always Wanted",1055,4.8,160,13.45,Spiritual Growth,Tyndale Elevate,Tyndale Momentum,John Burke,320
"I Didn't Know I Needed This: The New Rules for Flirting, Feeling, and Finding Yourself",1056,3.4,33,16.51,Dating,Harvest,,Eli Rallo,320
"The Art Thief: A True Story of Love, Crime, and a Dangerous Obsession",1058,4.3,2231,18.48,Arts & Photography,Knopf,,Michael Finkel,240
I Who Have Never Known Men,1058,4.6,2030,9.55,Genre Fiction,Vintage,,Jacqueline Harpman,208
"Amazing Dogs: Adult Coloring Book (Stress Relieving Creative Fun Drawings to Calm Down, Reduce Anxiety & Relax.)",1059,4.7,1933,11.69,Animals,CreateSpace Independent Publishing Platform,,Blush Design,75
Where God Came Down,1060,4.9,769,26.99,Archaeology,Sourceflix | Expedition Bible,Publisher: Sourceflix | Expedition Bible,Kramer Joel,160
Fucking Adorable - Cute Critters with foul Mouths,1061,4.7,24552,6.14,Humor & Entertainment,CreateSpace Independent Publishing Platform,CreateSpace Classics,Heather Land,66
The Diary of a CEO: The 33 Laws of Business and Life,1063,4.7,1083,20.14,Success,Portfolio,,Steven Bartlett,368
"F*cking Planner Stickers: 500+ Funny Adult Stickers to Control Your Sh*t (Journal Variety Pack, White Elephant Gift) (Calendars & Gifts to Swear By)",1064,4.8,6747,5.05,Motivational,Sourcebooks,Sourcebooks,Sourcebooks Sourcebooks,12
"How to Draw Super Cute Things: Learn to Draw Incredibly Cute Stuff - People, Animals, Magical Creatures, Food, and More - Easy Step By Step Drawing Book for Kids and Teens",1065,4.7,397,10.80,Drawing,Independently published,SLOWJOY,Emmie Poppins,109
Principles: Life and Work,1066,4.6,17642,10.36,Introduction,Avid Reader Press / Simon & Schuster,Simon & Schuster,Ray Dalio,592
The Bucket List: 1000 Adventures Big & Small (Bucket Lists),1067,4.7,3486,12.50,Travel,Universe,Universe,Kath Stathers,496
"Workbook for James Clear's Atomic Habits: Printed Exercises for Reflection, Processing, and Practising the Lessons (Productivity and ""Getting Things Done"")",1069,4.4,47,10.82,Professional,Independently published,,Tristan King,60
Food & Drink Colouring Book,1070,4.7,47,9.99,Coloring Books for Grown-Ups,Independently published,KiKiple,ali ali,63
It's OK That You're Not OK: Meeting Grief and Loss in a Culture That Doesn't Understand,1071,4.7,10436,9.99,Suicide,Sounds True,Sounds True,Megan Devine,280
Under the Sea - Silicone Touch and Feel Board Book - Sensory Board Book,1072,4.8,1434,9.89,Children's Books,Little Hippo Books,VECONOR,Books Little,10
"The Well Plated Cookbook: Fast, Healthy Recipes You'll Want to Eat",1073,4.7,3795,17.69,Quick & Easy,Avery,Avery,Erin Clarke,320
"Life Skills for Kids: How to Cook, Clean, Make Friends, Handle Emergencies, Set Goals, Make Good Decisions, and Everything in Between",1074,4.5,2626,11.90,Internet,Spotlight Media,WAVE,Karen Harris,130
Outliers: The Story of Success,1074,4.6,36631,6.25,Communication & Social Skills,Back Bay Books,Back Bay Books,Malcolm Gladwell,336
Destinations of a Lifetime: 225 of the World's Most Amazing Places,1075,4.7,5037,19.24,Travel,National Geographic,NATIONAL GEOGRAPHIC,Geographic National,320
"Your Fault (Culpable, 2)",1075,4.5,173,9.74,Literature & Fiction,Bloom Books,,Mercedes Ron,432
"Planescape: Adventures in the Multiverse (D&D Campaign Collection - Adventure, S etting Book, Bestiary + DM Screen) (Dungeons & Dragons)",1076,4.6,190,44.95,Genre Fiction,Wizards of the Coast,Dungeons & Dragons,RPG Team Wizards,256
"Basics with Babish: Recipes for Screwing Up, Trying Again, and Hitting It Out of the Park (A Cookbook)",1077,4.9,111,25.98,Reference,S&S/Simon Element,GOODMI,Andrew Rea,464
"2024 People of Walmart Boxed Calendar: 365 Days of Shop and Awe (Funny Daily Desk Calendar, White Elephant Gag Gift for Adults)",1079,4.5,1826,10.39,Photography & Video,Sourcebooks,,Adam Kipple,320
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),1080,4.9,26013,3.95,Dogs,Graphix,Scholastic,Dav Pilkey,240
you left me on read,1082,4.6,20,14.99,Love Poems,Independently published,,akhira akhira,203
Cook This Book: Techniques That Teach and Recipes to Repeat: A Cookbook,1083,4.8,2981,19.94,Cooking for One or Two,Clarkson Potter,Clarkson Potter,Molly Baz,304
Booze & Vinyl: A Spirited Guide to Great Music and Mixed Drinks,1084,4.9,3122,10.99,History & Criticism,Running Press Adult,Running Press Adult,André Darlington,224
Pretty Boys Are Poisonous: Poems,1085,4.5,454,18.18,Rich & Famous,Gallery Books,,Megan Fox,176
But No Elephants (Once upon a Time),1086,4.9,1639,6.00,Elephants,CQ Products,"Smath, Jerry/ Smath, Jerry (ILT)",Smath Jerry,40
The Big Cheese (The Food Group),1068,4.8,121,14.37,New Experiences,HarperCollins,,Jory John,40
Go the F**k to Sleep,1087,4.8,22881,9.99,Limericks & Humorous Verse,Akashic Books,Akashic Books,Mansbach Adam,32
Fairy Tale,1088,4.6,55957,13.84,Dark Fantasy,Scribner,Coivos,Stephen King,624
"Mom, I Want to Hear Your Story: A Mother’s Guided Journal To Share Her Life & Her Love (Hear Your Story Books)",1089,4.7,10547,11.40,Motherhood,Independently published,KAVNLON,Jeffrey Mason,108
The Alchemist: 25th Anniversary Edition,1090,4.8,5966,13.54,Classics,HarperOne,HarperOne,Paulo Coelho,208
"A Court of Thorns and Roses (A Court of Thorns and Roses, 1)",1091,4.6,157619,17.59,Folklore,Bloomsbury Publishing,Bloomsbury Publishing,Sarah J. Maas,432
"My Book of Rocks and Minerals: Things to Find, Collect, and Treasure",1092,4.8,7248,5.97,Encyclopedias,DK Children,DK Children,Devin Dennie,96
One Day in December: A Novel,1092,4.3,50165,4.35,Genre Fiction,Random House Publishing Group,Ballantine Books,Josie Silver,416
Are You My Mother? (Bright & Early Board Books(TM)),1093,4.9,19583,2.87,Birds,Random House Books for Young Readers,Random House Books for Young Readers,Eastman P,12
Teach Your Child to Read in 100 Easy Lessons: Revised and Updated Second Edition,1094,4.6,15944,9.79,Health,Avid Reader Press / Simon & Schuster,Touchstone,Siegfried Engelmann,420
"The Drawing Book for Kids: 365 Daily Things to Draw, Step by Step (Woo! Jr. Kids Activities Books) (Drawing Books for Kids)",1095,4.7,12129,8.39,Conceptual,Wendybird Press,CreateSpace Classics,Activities Woo,152
Master Your Emotions: A Practical Guide to Overcome Negativity and Better Manage Your Feelings (Mastery Series),1096,4.6,11507,13.89,Happiness,Independently published,Independently Published,Thibaut Meurisse,242
The Maid: A Novel (Molly the Maid),1098,4.2,85149,11.00,Genre Fiction,Random House Publishing Group,,Nita Prose,336
Saga Volume 11,1098,4.5,65,11.29,Science Fiction,Image Comics,,Brian K Vaughan,160
Awesome Facts for Potter Fans – The Unofficial Collection: The Encyclopedia of Secret Knowledge about the Most Famous Wizard,1099,4.7,749,14.16,Fantasy & Magic,Nucleo,,Lisa Marie Bopp,171
Glucose Revolution: The Life-Changing Power of Balancing Your Blood Sugar,1099,4.7,6528,13.00,Blood Type Diets,S&S/Simon Element,Altapolo,Jessie Inchauspe,304
"Jujutsu Kaisen, Vol. 3 (3)",1100,4.9,5439,6.41,Fantasy,VIZ Media LLC,VIZ Media LLC,Gege Akutami,192
"Berserk Deluxe Volume 13 (Berserk, 13)",1101,4.9,827,28.99,Fantasy,Dark Horse Manga,"Dark Horse Comics,U.S.",Kentaro Miura,624
"Magic Tree House Boxed Set, Books 5-8: Night of the Ninjas, Afternoon on the Amazon, Sunset of the Sabertooth, and Midnight on the Moon",1102,4.8,8381,12.97,Action & Adventure,Random House Books for Young Readers,Random House Books for Young Readers,Osborne Mary,304
Absolution: A Novel,1102,4.2,1038,17.04,Historical,"Farrar, Straus and Giroux",,Alice McDermott,336
Dog Ate My Mad Libs: World's Greatest Word Game,1103,4.7,8002,4.78,Dogs,Mad Libs,Mad Libs,Libs Mad,48
Heartstopper #4: A Graphic Novel (4),1104,4.9,15197,9.99,Graphic Novels,Graphix,,Alice Oseman,384
God Hears Her: 365 Devotions for Women by Women,1104,4.8,8182,5.25,Devotionals,Our Daily Bread Publishing,Our Daily Bread Publishing,Ministries Our,384
The Myth of Sisyphus (Vintage International),1105,4.7,2590,9.49,Essays,Vintage,Vintage,Albert Camus,160
Mystery In Rocky Mountain National Park (National Park Mystery Series),1106,4.7,992,11.59,United States,Aaron Johnson,MSNOR,Aaron Johnson,260
"Vision Board Clip Art Book for Black Women: Create Powerful Vision Boards from 300+ Inspiring Pictures, Words and Affirmation Cards (Vision Board Magazines) (Vision Board Supplies)",1107,4.6,446,13.49,Creativity,Independently published,,HappinessLadder Publishing,53
"Jujutsu Kaisen, Vol. 5 (5)",1108,4.9,4034,8.10,Fantasy,VIZ Media LLC,VIZ Media LLC,Gege Akutami,192
"The Wicked King (The Folk of the Air, 2)",1109,4.6,29729,7.65,Fantasy,"Little, Brown Books for Young Readers","Little, Brown Books for Young Readers",Holly Black,368
Dog Man: A Graphic Novel (Dog Man #1): From the Creator of Captain Underpants (1),1111,4.8,22071,8.10,Superheroes,Graphix,Scholastic,Dav Pilkey,240
The Love Hypothesis,1112,4.5,65217,9.40,Feel-Good,Berkley,,Ali Hazelwood,400
Why a Son Needs a Mom: Celebrate Your Special Mother Son Bond this Christmas with this Heartwarming Picture Book! (Always in My Heart),1112,4.9,3666,6.77,Parents,Sourcebooks Wonderland,Sourcebooks Wonderland,Lang Gregory,40
"Dance of Thieves (Dance of Thieves, 1)",1113,4.5,8490,7.03,Action & Adventure,Square Fish,Square Fish,Mary E Pearson,528
The Josiah Manifesto: The Ancient Mystery & Guide for the End Times,1113,4.8,1438,19.99,Social Issues,Frontline,,Jonathan Cahn,304
"True Crime Activity Book for Adults: Over 100 Activities To Learn More About Infamous Serial Killers And Their Horrific Crimes - Trivia, Puzzles, Coloring Pages, Memes & More",1114,4.4,1585,11.23,Murder & Mayhem,Crime Puzzle Activity,,Brian Berry,136
"The Unofficial Disney Parks Cookbook: From Delicious Dole Whip to Tasty Mickey Pretzels, 100 Magical Disney-Inspired Recipes (Unofficial Cookbook)",1118,4.8,15302,6.99,California,Adams Media,Adams Media,Ashley Craft,240
Dog Man: Fetch-22: A Graphic Novel (Dog Man #8): From the Creator of Captain Underpants,1119,4.9,31537,3.99,Humor,Graphix,Scholastic,Dav Pilkey,240
"What Happened to You?: Conversations on Trauma, Resilience, and Healing",1120,4.7,15584,10.02,Personal Transformation,Flatiron Books: An Oprah Book,Flatiron Books,Oprah Winfrey,304
In Five Years: A Novel,1122,4.3,57843,6.00,Family Life,Atria Books,Atria Books,Rebecca Serle,288
The Legend of Zelda: Breath of the Wild The Complete Official Guide: -Expanded Edition,1123,4.8,11032,21.46,Strategy Guides,Piggyback,Piggyback,Piggyback Piggyback,512
The Terminal List: A Thriller (1),1124,4.6,31036,15.19,TV,Atria/Emily Bestler Books,Atria/Emily Bestler Books,Jack Carr,416
The Rainbow Fish,1124,4.9,11731,6.83,Fish,North-South Books,NorthSouth Books,Marcus Pfister,32
Freddie The Farting Snowman: A Funny Read Aloud Picture Book For Kids And Adults About Snowmen Farts and Toots (Fart Dictionaries and Toot Along Stories),1126,4.7,4867,10.82,Norse,Independently published,,Jane Bexley,34
"School Zone - Multiplication 0-12 Flash Cards - Ages 8+, 3rd Grade, 4th Grade, Elementary Math, Multiplication Facts, Common Core, and More",1127,4.7,28689,3.49,Arithmetic,School Zone Publishing,School Zone,Zone School,56
A Little SPOT of Emotion 8 Plush Toys with Feelings Book Box Set,1130,4.8,3559,31.35,Emotions & Feelings,Diane Alber Art LLC,,Alber Diane,32
Principles for Dealing with the Changing World Order: Why Nations Succeed and Fail,1131,4.6,7121,18.61,Economic History,Avid Reader Press / Simon & Schuster,Avid Reader Press / Simon & Schuster,Ray Dalio,576
Big Heart Little Stove: Bringing Home Meals & Moments from The Lost Kitchen,1132,4.4,346,22.24,Garnishes,Celadon Books,,Erin French,304
"Poverty, by America",1133,4.5,2002,17.69,Poverty,Crown,,Matthew Desmond,304
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,1134,4.6,14968,9.89,Business,Taylor Trade Publishing,Taylor Trade Publishing,Stanley Thomas,272
Legend of Zelda 2024 Wall Calendar,1134,4.9,47,15.99,Video Games,Harry N Abrams Inc.,Grehge,Nintendo Nintendo,24
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",1135,4.3,26991,6.90,Murder & Mayhem,Knopf Doubleday Publishing Group,Vintage,Larson Erik,447
The Comfort of Crows: A Backyard Year,1135,4.6,95,23.70,Mid-Life,Spiegel & Grau,,Margaret Renkl,288
Why Has Nobody Told Me This Before?,1136,4.6,9412,16.00,Happiness,HarperOne,,Dr. Julie Smith,368
"The Myth of Normal: Trauma, Illness, and Healing in a Toxic Culture",1138,4.8,4168,16.00,Personal Transformation,Avery,Avery,Gabor Maté MD,576
"Crossed (Never After, 5)",1138,4.2,5993,13.48,Folklore,Bloom Books,,Emily McIntire,416
Audubon Birds Page-A-Day Calendar 2024: The World's Favorite Bird Calendar,1139,4.7,67,13.26,Birds,Workman Publishing Company,Workman Publishing,Calendars Workman,640
Rand McNally Folded Map: United States Map,1140,4.8,2501,6.32,Atlases & Gazetteers,Rand McNally,Rand McNally,McNally Rand,1
This Is How You Lose the Time War,1141,4.3,13268,9.37,Epistolary,Saga Press,Gallery / Saga Press,Amal El-Mohtar,224
"Love Redesigned (Lakefront Billionaires, 1)",1141,4.3,7460,13.47,Contemporary,Bloom Books,,Lauren Asher,528
Haunting Adeline (Cat and Mouse Duet),1142,4.4,73891,17.54,Occult,Independently published,SLOWJOY,H. D. Carlton,549
How to Meet Your Self: An Inspirational Self-Help Workbook,1142,4.8,1562,10.00,Interpersonal Relations,Harper Paperbacks,,Dr. Nicole LePera,256
"Magnolia Table, Volume 2: A Collection of Recipes for Gathering",1143,4.9,28070,17.50,Cooking for One or Two,William Morrow Cookbooks,American West Books,Joanna Gaines,352
Letting Go: The Pathway of Surrender,1144,4.7,9779,12.03,Motivational,Hay House Inc.,Hay House,David R. Hawkins M.D.  Ph.D,400
"2024 Great Quotes From Great Leaders Boxed Calendar: 365 Inspirational Quotes From Leaders Who Shaped the World (Daily Calendar, Office Desk Gift for Him or Her)",1145,4.6,1616,11.53,Motivational,Sourcebooks,,Sourcebooks Sourcebooks,320
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",1146,4.4,8481,23.03,Weight Loss,Harmony,Harmony,Timothy Ferriss,608
The Catcher in the Rye,1148,4.4,39311,7.00,Classics,Back Bay Books,Back Bay Books,Salinger J,288
We'll Always Have Summer (The Summer I Turned Pretty),1149,4.5,30787,7.57,Girls & Women,Simon & Schuster Books for Young Readers,Simon & Schuster Books for Young Readers,Jenny Han,320
"The 5-Ingredient College Cookbook: Easy, Healthy Recipes for the Next Four Years & Beyond",1150,4.6,3879,7.57,Budget,Rockridge Press,Rockridge Press,Pamela Ellgen,216
The Lord of the Rings 3-Book Paperback Box Set,1151,4.8,9016,19.29,Children's Books,Clarion Books,HMH Books for Young Readers,J.R.R. Tolkien,1536
"The All New Ball Book Of Canning And Preserving: Over 350 of the Best Canned, Jammed, Pickled, and Preserved Recipes",1153,4.6,12187,15.28,Canning & Preserving,TI Inc. Books,Oxmoor House,Kitchen Ball,368
How Highly Effective People Speak: How High Performers Use Psychology to Influence With Ease (Speak for Success),1154,4.3,1345,14.99,Management & Leadership,Independently published,Independently Published,Peter Andrei,289
Disney Dreams Collection Thomas Kinkade Studios Disney Princess Coloring Book,1154,4.7,5403,6.56,Individual Artists,Andrews McMeel Publishing,Andrews McMeel Publishing,Thomas Kinkade,96
Stacey's Mistake: A Graphic Novel (The Baby-Sitters Club #14) (The Baby-Sitters Club Graphix),1155,4.6,485,10.38,Babysitting,Graphix,,Ann M. Martin,160
Black AF History: The Un-Whitewashed Story of America,1155,4.8,341,22.36,Black & African Americans,Dey Street Books,,Michael Harriot,432
101 Things Every Kid Needs To Know: Important Skills That Prepare Kids for Life!,1157,4.6,75,11.89,Diet & Nutrition,Elk Point Press,,Jamie Thorne,136
"The Best Minds: A Story of Friendship, Madness, and the Tragedy of Good Intentions",1158,4.4,899,21.36,Memoirs,Penguin Press,,Jonathan Rosen,576
A Year of Crochet Stitches: A Stitch-a-Day Perpetual Calendar,1159,3.7,18,21.48,Crocheting,Stackpole Books,,Jill Wright,416
Unravel Me (Shatter Me Book 2),1161,4.5,13756,7.62,Action & Adventure,HarperCollins,Brand: HarperCollins,Tahereh Mafi,496
Pete the Cat: Snow Daze: A Winter and Holiday Book for Kids (My First I Can Read),1163,4.8,2411,3.99,Cats,HarperCollins,HarperCollins,James Dean,32
"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free (The Plant Paradox, 2)",1164,4.4,9085,9.94,Vegetables,Harper,Harper Wave,Dr. Steven R Gundry  MD,288
"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",1166,4.8,8287,29.27,Cooking for One or Two,Knopf,Knopf,Beck Simone,684
Educated: A Memoir,1167,4.6,211233,9.98,Women,Random House Trade Paperbacks,CALOTO,Tara Westover,368
"Nickelodeon Paw Patrol Chase, Skye, Marshall, and More! - Me Reader Electronic Reader and 8 Sound Book Library - PI Kids",1168,4.7,10554,10.92,Dogs,PI Kids,PI Kids,Publications Editors,160
Tiny Buddha 2024 Day-to-Day Calendar: Simple Wisdom for Complex Lives,1169,4.8,21,13.49,Motivational,Andrews McMeel Publishing,,Lori Deschene,640
"Teen Girl's Survival Guide: How to Make Friends, Build Confidence, Avoid Peer Pressure, Overcome Challenges, Prepare for Your Future, and Just About Everything in Between",1169,4.6,1475,11.89,Communication & Social Skills,Canyon Press,WAVE,Jenn Higgins,135
The Argyle Sweater 2024 Day-to-Day Calendar,1172,4.6,25,9.88,Comic Strips,Andrews McMeel Publishing,,Scott Hilburn,640
Five Nights at Freddy's: Fazbear Frights Graphic Novel Collection Vol. 1 (Five Nights at Freddy’s Graphic Novel #4) (Five Nights at Freddy’s Graphic Novels),1173,4.7,860,8.14,Children's Books,Graphix,Scholastic,Christopher Hastings,192
"May I Please Have a Cookie? (Scholastic Readers, Level 1)",1174,4.8,6597,4.99,Alligators & Crocodiles,Cartwheel Books,Cartwheel Books,Jennifer E. Morris,32
"Blank Comic Book For Kids : Create Your Own Comics With This Comic Book Journal Notebook: Over 100 Pages Large Big 8.5"" x 11"" Cartoon / Comic Book With Lots of Templates (Blank Comic Books)",1175,4.7,8255,4.99,Comics,CreateSpace Independent Publishing Platform,Ingramcontent,Blank Books 'N' Journals,108
The Three-Body Problem,1175,4.3,40932,10.59,Hard Science Fiction,Tor Books,Tor Books,Cixin Liu,416
Backyard Bugs - Touch and Feel Board Book - Sensory Board Book,1176,4.8,1089,8.72,Children's Books,Little Hippo Books,VECONOR,Books Little,10
Crochet Magical Creatures: 20 Easy Amigurumi Patterns,1177,4.8,818,12.77,Crocheting,Rockridge Press,,Drew Hill,168
Gravity Falls:: Journal 3,1178,4.8,21301,9.99,Action & Adventure,Disney Press,Disney Press,Alex Hirsch,288
The Firm: A Novel (The Firm Series),1178,4.6,17418,7.48,True Crime,Vintage,DELL,John Grisham,560
Meditations,1179,4.5,9952,13.49,Classics,Fingerprint! Publishing,,Marcus Aurelius,304
"Princeton Review Digital SAT Premium Prep, 2024: 4 Practice Tests + Online Flashcards + Review & Tools (2024) (College Test Preparation)",1180,4.1,93,19.65,College Entrance,Princeton Review,,Review The,624
"My Hero Academia, Vol. 36 (36)",1181,4.9,158,9.58,Fantasy,VIZ Media LLC,,Kohei Horikoshi,200
The Monster at the End of This Book,1182,4.9,29453,3.53,Activity Books,Golden Books,Golden Books,Jon Stone,24
Lover Girl,1183,4.7,421,12.36,Women Authors,Raegan Fordemwalt,Katio Kadio,Raegan Fordemwalt,220
Gross Me Out Mad Libs: World's Greatest Word Game,1184,4.8,84,5.06,Grammar,Mad Libs,,Gabriella DeGennaro,48
The Way Things Work: Newly Revised Edition,1185,4.8,1939,16.89,Reference,Clarion Books,Harcourt Brace and Company,David Macaulay,408
"The Complete Cooking for Two Cookbook, Gift Edition: 650 Recipes for Everything You'll Ever Want to Make (The Complete ATK Cookbook Series)",1186,4.7,9614,22.49,Cooking for One or Two,America's Test Kitchen,America's Test Kitchen,Kitchen America's,448
Happy Birthday to You!,1187,4.8,16254,6.14,Birds,Random House Books for Young Readers,Random House Books for Young Readers,Seuss Dr,64
Hey Girl! Empowering Journal for girls: To Develop Gratitude and Mindfulness through Positive Affirmations,1187,4.8,5034,10.30,Creativity,PenMagic Books,,Pragya Tomar,111
Devotions: The Selected Poems of Mary Oliver,1188,4.8,5223,11.33,Genre Fiction,Penguin Books,Penguin Books,Mary Oliver,480
Heartstopper #1: A Graphic Novel (1),1190,4.8,25087,4.59,Graphic Novels,Graphix,Graphix,Alice Oseman,288
The Idea of You: A Novel,1191,4.3,16357,7.29,Divorce,St. Martin's Griffin,St. Martin's Griffin,Robinne Lee,384
"Wild Hope: Healing Words to Find Light on Dark Days (Poetry Wisdom that Comforts, Guides, and Heals)",1192,4.8,300,17.31,Stress Management,Mango,,Donna Ashworth,320
Sonic the Hedgehog: The Official Coloring Book,1194,4.8,876,5.59,Coloring Books,Penguin Young Readers Licenses,,Licenses Penguin,64
"The Green Witch: Your Complete Guide to the Natural Magic of Herbs, Flowers, Essential Oils, and More (Green Witch Witchcraft Series)",1195,4.8,26661,9.79,Shamanism,Adams Media,Adams Media,Arin Murphy-Hiscock,256
Peanuts 2024 Wall Calendar,1196,4.8,56,12.12,Comic Strips,Andrews McMeel Publishing,,LLC Peanuts,24
Heroes' Feast (Dungeons & Dragons): The Official D&D Cookbook,1197,4.9,12420,22.20,Performing Arts,Ten Speed Press,Ten Speed Press,Kyle Newman,240
Trusting God with Today: 365 Devotions (Devotionals from Charles F. Stanley),1198,4.9,62,15.45,Devotionals,Thomas Nelson,,Charles F. Stanley,400
